City,City_ID,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind_speed,Country,Date
Gazimurskiy Zavod,2024122,51.55,118.33,2.19,85,100,4.18,RU,2020-01-30 02:08:53
Rio Grande,3451138,-32.03,-52.1,75.99,78,73,5.73,BR,2020-01-30 02:08:53
Airai,1651810,-8.93,125.41,83.88,59,33,3.33,TL,2020-01-30 02:05:58
Punta Arenas,3874787,-53.15,-70.92,50.0,76,75,25.28,CL,2020-01-30 02:06:38
San Cristobal,3628473,7.77,-72.22,80.6,74,40,3.36,VE,2020-01-30 02:07:55
Kapaa,5848280,22.08,-159.32,81.63,51,20,9.17,US,2020-01-30 02:04:41
Isangel,2136825,-19.55,169.27,82.4,78,75,16.11,VU,2020-01-30 02:08:54
Ushuaia,3833367,-54.8,-68.3,46.4,70,90,17.22,AR,2020-01-30 02:08:55
Jamestown,5122534,42.1,-79.24,19.06,92,1,1.52,US,2020-01-30 02:08:55
Teguise,2510573,29.06,-13.56,64.4,23,100,8.05,ES,2020-01-30 02:08:55
East London,1006984,-33.02,27.91,70.32,79,100,8.08,ZA,2020-01-30 02:08:56
Pokhara,1282898,28.23,83.98,55.18,59,0,1.48,NP,2020-01-30 02:07:40
Busselton,2075265,-33.65,115.33,69.33,36,66,15.28,AU,2020-01-30 02:08:56
Belyy Yar,1510377,53.6,91.39,8.6,55,100,17.9,RU,2020-01-30 02:08:56
Bengkulu,1649150,-3.8,102.27,84.54,47,100,5.46,ID,2020-01-30 02:05:01
Yaan,2338660,7.38,8.57,70.92,14,7,4.36,NG,2020-01-30 02:08:57
Tikhvin,483019,59.65,33.53,23.0,90,100,3.0,RU,2020-01-30 02:08:57
Lebu,3883457,-37.62,-73.65,49.23,85,2,4.29,CL,2020-01-30 02:08:58
Kavieng,2094342,-2.57,150.8,83.95,79,44,14.52,PG,2020-01-30 02:08:58
Cape Town,3369157,-33.93,18.42,63.72,68,20,14.99,ZA,2020-01-30 02:08:14
Albany,5106841,42.6,-73.97,21.36,92,1,6.93,US,2020-01-30 02:08:59
Tessalit,2449893,20.2,1.01,64.72,23,0,10.98,ML,2020-01-30 02:08:59
George Town,1735106,5.41,100.34,80.62,78,20,4.7,MY,2020-01-30 02:05:22
Yar-Sale,1486321,66.83,70.83,-16.2,95,85,10.76,RU,2020-01-30 02:09:20
Shingu,1847947,33.73,135.98,50.0,61,40,13.87,JP,2020-01-30 02:08:40
Hilo,5855927,19.73,-155.09,76.06,58,1,14.99,US,2020-01-30 02:09:21
Rundu,3353383,-17.93,19.77,68.25,84,79,3.89,NA,2020-01-30 02:09:21
Trairi,3386177,-3.28,-39.27,75.04,90,66,1.92,BR,2020-01-30 02:09:21
Muli,1337617,2.92,73.57,80.71,76,84,14.76,MV,2020-01-30 02:09:21
Cintalapa,3530617,16.7,-93.73,66.2,89,79,3.33,MX,2020-01-30 02:09:22
Vestmannaeyjar,3412093,63.44,-20.27,32.22,68,0,12.08,IS,2020-01-30 02:09:22
Kruisfontein,986717,-34.0,24.73,60.3,86,76,4.16,ZA,2020-01-30 02:06:17
Matara,1235846,5.95,80.54,77.34,75,52,3.2,LK,2020-01-30 02:09:23
Tuktoyaktuk,6170031,69.45,-133.04,-22.0,74,90,11.41,CA,2020-01-30 02:09:23
Puruliya,1259163,23.33,86.37,69.8,88,90,8.72,IN,2020-01-30 02:09:23
Tobias Barreto,3446400,-11.18,-38.0,70.43,93,15,2.55,BR,2020-01-30 02:09:23
Funadhoo,1337620,6.15,73.27,81.09,74,91,13.22,MV,2020-01-30 02:09:24
Palembang,1633070,-2.92,104.75,77.0,94,40,9.17,ID,2020-01-30 02:09:24
Kamenka,553766,51.32,42.77,34.52,98,100,10.0,RU,2020-01-30 02:09:24
Laguna,5364271,38.42,-121.42,55.02,55,1,6.93,US,2020-01-30 02:09:24
Sorland,3137469,67.67,12.69,37.47,67,98,13.67,NO,2020-01-30 02:05:47
Nar'yan-Mar,523392,67.67,53.09,-15.29,98,86,4.25,RU,2020-01-30 02:09:25
Opuwo,3354077,-18.06,13.84,68.86,49,32,4.07,NA,2020-01-30 02:09:25
Ontario,5379439,34.06,-117.65,62.06,11,1,8.05,US,2020-01-30 02:06:36
